#r,   l, node, open or close = 00open    00close    01close    10open    10close    11close    20open    20close    21close    30open    30close    31close    40open    40close    41close    50open    50close    51close    60open    60close    61close    70open    70close    71close    80open    80close    81close    90open    90close    91close    
   0.00173874   0.00162601   0.00284524  -0.00551862   0.00000763   0.00001724  -0.00004818   0.00000002   0.00000005  -0.00000018   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00194304   0.00181707   0.00317956  -0.00616707   0.00000864   0.00001951  -0.00005452   0.00000002   0.00000006  -0.00000022   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00215357   0.00201394   0.00352407  -0.00683526   0.00000971   0.00002193  -0.00006128   0.00000003   0.00000008  -0.00000028   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00237051   0.00221682   0.00387906  -0.00752379   0.00001085   0.00002451  -0.00006851   0.00000003   0.00000009  -0.00000034   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00259406   0.00242587   0.00424487  -0.00823330   0.00001208   0.00002728  -0.00007625   0.00000004   0.00000011  -0.00000041   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00282441   0.00264129   0.00462181  -0.00896440   0.00001339   0.00003025  -0.00008456   0.00000005   0.00000013  -0.00000049   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00306178   0.00286327   0.00501024  -0.00971776   0.00001481   0.00003345  -0.00009349   0.00000006   0.00000016  -0.00000058   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00330638   0.00309201   0.00541049  -0.01049407   0.00001633   0.00003690  -0.00010313   0.00000007   0.00000019  -0.00000068   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00355843   0.00332771   0.00582293  -0.01129401   0.00001798   0.00004062  -0.00011351   0.00000008   0.00000022  -0.00000079   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00381815   0.00357059   0.00624793  -0.01211830   0.00001976   0.00004463  -0.00012473   0.00000009   0.00000025  -0.00000092   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00408579   0.00382087   0.00668588  -0.01296768   0.00002168   0.00004897  -0.00013686   0.00000011   0.00000029  -0.00000107   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00436157   0.00407878   0.00713716  -0.01384293   0.00002375   0.00005366  -0.00014998   0.00000012   0.00000034  -0.00000123   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00464575   0.00434453   0.00760218  -0.01474482   0.00002600   0.00005874  -0.00016417   0.00000014   0.00000039  -0.00000141   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00493859   0.00461838   0.00808136  -0.01567416   0.00002843   0.00006423  -0.00017952   0.00000016   0.00000044  -0.00000162   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00524035   0.00490057   0.00857513  -0.01663179   0.00003107   0.00007018  -0.00019614   0.00000018   0.00000051  -0.00000185   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00555129   0.00519135   0.00908394  -0.01761857   0.00003391   0.00007662  -0.00021413   0.00000021   0.00000058  -0.00000211   0.00000000   0.00000000  -0.00000002   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00587171   0.00549098   0.00960824  -0.01863538   0.00003700   0.00008358  -0.00023360   0.00000024   0.00000066  -0.00000240   0.00000000   0.00000000  -0.00000002   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00620188   0.00579974   0.01014851  -0.01968314   0.00004033   0.00009111  -0.00025465   0.00000027   0.00000074  -0.00000272   0.00000000   0.00000001  -0.00000002   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00654211   0.00611791   0.01070522  -0.02076278   0.00004394   0.00009926  -0.00027742   0.00000031   0.00000084  -0.00000308   0.00000000   0.00000001  -0.00000003   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00689270   0.00644576   0.01127889  -0.02187528   0.00004784   0.00010807  -0.00030204   0.00000035   0.00000095  -0.00000348   0.00000000   0.00000001  -0.00000003   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00725397   0.00678360   0.01187003  -0.02302163   0.00005205   0.00011759  -0.00032865   0.00000039   0.00000108  -0.00000394   0.00000000   0.00000001  -0.00000004   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00762624   0.00713172   0.01247916  -0.02420286   0.00005660   0.00012787  -0.00035739   0.00000044   0.00000122  -0.00000444   0.00000000   0.00000001  -0.00000005   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00800985   0.00749044   0.01310684  -0.02542003   0.00006152   0.00013898  -0.00038841   0.00000050   0.00000137  -0.00000500   0.00000000   0.00000001  -0.00000006   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00840514   0.00786009   0.01375363  -0.02667423   0.00006682   0.00015096  -0.00042189   0.00000056   0.00000154  -0.00000563   0.00000000   0.00000001  -0.00000007   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00881246   0.00824099   0.01442011  -0.02796658   0.00007254   0.00016388  -0.00045800   0.00000063   0.00000173  -0.00000633   0.00000001   0.00000002  -0.00000008   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00923220   0.00863349   0.01510688  -0.02929823   0.00007871   0.00017781  -0.00049693   0.00000071   0.00000195  -0.00000712   0.00000001   0.00000002  -0.00000009   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.00966471   0.00903795   0.01581456  -0.03067039   0.00008535   0.00019282  -0.00053888   0.00000079   0.00000219  -0.00000799   0.00000001   0.00000002  -0.00000011   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01011040   0.00945472   0.01654379  -0.03208427   0.00009251   0.00020898  -0.00058405   0.00000089   0.00000245  -0.00000896   0.00000001   0.00000003  -0.00000012   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01056966   0.00988418   0.01729521  -0.03354115   0.00010021   0.00022638  -0.00063268   0.00000100   0.00000275  -0.00001005   0.00000001   0.00000003  -0.00000014   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01104291   0.01032671   0.01806951  -0.03504232   0.00010850   0.00024510  -0.00068499   0.00000112   0.00000308  -0.00001126   0.00000001   0.00000004  -0.00000017   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01153057   0.01078272   0.01886738  -0.03658912   0.00011741   0.00026524  -0.00074126   0.00000125   0.00000345  -0.00001260   0.00000001   0.00000004  -0.00000019   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01203308   0.01125262   0.01968953  -0.03818293   0.00012699   0.00028688  -0.00080174   0.00000140   0.00000386  -0.00001410   0.00000002   0.00000005  -0.00000022   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01255090   0.01173682   0.02053671  -0.03982518   0.00013729   0.00031014  -0.00086672   0.00000156   0.00000432  -0.00001577   0.00000002   0.00000006  -0.00000026   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01308448   0.01223576   0.02140967  -0.04151733   0.00014834   0.00033511  -0.00093650   0.00000175   0.00000483  -0.00001762   0.00000002   0.00000007  -0.00000030   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01363432   0.01274990   0.02230920  -0.04326089   0.00016021   0.00036193  -0.00101142   0.00000195   0.00000539  -0.00001969   0.00000002   0.00000008  -0.00000035   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01420090   0.01327969   0.02323611  -0.04505741   0.00017295   0.00039070  -0.00109181   0.00000218   0.00000602  -0.00002198   0.00000003   0.00000009  -0.00000040   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01478474   0.01382561   0.02419123  -0.04690849   0.00018661   0.00042157  -0.00117805   0.00000243   0.00000672  -0.00002453   0.00000003   0.00000010  -0.00000046   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01538635   0.01438814   0.02517541  -0.04881577   0.00020127   0.00045466  -0.00127052   0.00000271   0.00000749  -0.00002736   0.00000004   0.00000012  -0.00000053   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01600629   0.01496781   0.02618954  -0.05078094   0.00021697   0.00049014  -0.00136964   0.00000303   0.00000835  -0.00003051   0.00000004   0.00000014  -0.00000061   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01664511   0.01556512   0.02723453  -0.05280576   0.00023380   0.00052816  -0.00147584   0.00000337   0.00000931  -0.00003400   0.00000005   0.00000016  -0.00000071   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01730338   0.01618061   0.02831131  -0.05489201   0.00025183   0.00056888  -0.00158960   0.00000376   0.00001037  -0.00003787   0.00000006   0.00000018  -0.00000082   0.00000000   0.00000000  -0.00000002   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01798170   0.01681484   0.02942085  -0.05704154   0.00027114   0.00061249  -0.00171142   0.00000418   0.00001155  -0.00004217   0.00000006   0.00000021  -0.00000094   0.00000000   0.00000000  -0.00000002   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01868068   0.01746838   0.03056414  -0.05925626   0.00029181   0.00065918  -0.00184182   0.00000465   0.00001285  -0.00004694   0.00000007   0.00000024  -0.00000108   0.00000000   0.00000000  -0.00000002   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.01940094   0.01814180   0.03174221  -0.06153811   0.00031393   0.00070914  -0.00198136   0.00000518   0.00001430  -0.00005222   0.00000008   0.00000027  -0.00000124   0.00000000   0.00000001  -0.00000003   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02014314   0.01883573   0.03295611  -0.06388912   0.00033759   0.00076260  -0.00213066   0.00000576   0.00001590  -0.00005807   0.00000010   0.00000031  -0.00000143   0.00000000   0.00000001  -0.00000003   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02090795   0.01955078   0.03420693  -0.06631135   0.00036291   0.00081977  -0.00229034   0.00000640   0.00001768  -0.00006455   0.00000011   0.00000036  -0.00000164   0.00000000   0.00000001  -0.00000004   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02169604   0.02028759   0.03549579  -0.06880693   0.00038998   0.00088091  -0.00246107   0.00000711   0.00001965  -0.00007173   0.00000013   0.00000042  -0.00000188   0.00000000   0.00000001  -0.00000005   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02250814   0.02104682   0.03682384  -0.07137806   0.00041892   0.00094627  -0.00264359   0.00000790   0.00002182  -0.00007967   0.00000015   0.00000048  -0.00000216   0.00000000   0.00000001  -0.00000005   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02334497   0.02182916   0.03819227  -0.07402699   0.00044985   0.00101613  -0.00283865   0.00000877   0.00002423  -0.00008846   0.00000017   0.00000055  -0.00000248   0.00000000   0.00000001  -0.00000007   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02420728   0.02263531   0.03960230  -0.07675604   0.00048290   0.00109078  -0.00304706   0.00000974   0.00002689  -0.00009818   0.00000019   0.00000063  -0.00000285   0.00000000   0.00000001  -0.00000008   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02509586   0.02346599   0.04105519  -0.07956759   0.00051821   0.00117053  -0.00326969   0.00001080   0.00002984  -0.00010893   0.00000022   0.00000072  -0.00000326   0.00000000   0.00000002  -0.00000009   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02601149   0.02432194   0.04255224  -0.08246409   0.00055593   0.00125571  -0.00350746   0.00001198   0.00003309  -0.00012081   0.00000025   0.00000082  -0.00000374   0.00000001   0.00000002  -0.00000011   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02695501   0.02520394   0.04409478  -0.08544807   0.00059620   0.00134666  -0.00376133   0.00001329   0.00003669  -0.00013394   0.00000029   0.00000094  -0.00000428   0.00000001   0.00000002  -0.00000013   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02792727   0.02611277   0.04568419  -0.08852211   0.00063921   0.00144377  -0.00403235   0.00001473   0.00004067  -0.00014845   0.00000033   0.00000108  -0.00000491   0.00000001   0.00000003  -0.00000015   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02892914   0.02704925   0.04732189  -0.09168888   0.00068511   0.00154743  -0.00432162   0.00001632   0.00004506  -0.00016447   0.00000038   0.00000124  -0.00000561   0.00000001   0.00000003  -0.00000018   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.02996151   0.02801422   0.04900933  -0.09495111   0.00073410   0.00165806  -0.00463030   0.00001807   0.00004991  -0.00018215   0.00000043   0.00000142  -0.00000642   0.00000001   0.00000004  -0.00000021   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.03102533   0.02900854   0.05074802  -0.09831160   0.00078638   0.00177610  -0.00495963   0.00002001   0.00005526  -0.00020168   0.00000050   0.00000162  -0.00000735   0.00000001   0.00000005  -0.00000025   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.03212155   0.03003311   0.05253950  -0.10177325   0.00084216   0.00190204  -0.00531094   0.00002215   0.00006117  -0.00022322   0.00000057   0.00000185  -0.00000840   0.00000001   0.00000005  -0.00000030   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.03325115   0.03108883   0.05438537  -0.10533902   0.00090165   0.00203638  -0.00568562   0.00002451   0.00006768  -0.00024698   0.00000065   0.00000212  -0.00000960   0.00000002   0.00000006  -0.00000035   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
   0.03441515   0.03217666   0.05628726  -0.10901195   0.00096511   0.00217965  -0.00608516   0.00002712   0.00007487  -0.00027319   0.00000074   0.00000242  -0.00001097   0.00000002   0.00000008  -0.00000041   0.00000000   0.00000000  -0.00000001   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000   0.00000000   0.00000000  -0.00000000
